anio,mes,ruta,clasificacion_vuelo,aerolinea,origen_localidad,origen_provincia,destino_localidad,destino_provincia,pasajeros,asientos,vuelos,factor_ocupacion
2017,1,Porto Seguro - Ciudad de Buenos Aires,internacional,Aerolíneas Argentinas,Porto Seguro,,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,287,340,2,0.8441
2017,1,Porto Seguro - Córdoba,internacional,Aerolíneas Argentinas,Porto Seguro,,Córdoba,Córdoba,565,680,4,0.8309
2017,1,Porto Seguro - Córdoba,internacional,LATAM,Porto Seguro,,Córdoba,Córdoba,332,336,2,0.9881
2017,1,Porto Seguro - Ezeiza,internacional,Aerolíneas Argentinas,Porto Seguro,,Ezeiza,Buenos Aires,1104,1530,9,0.7216
2017,1,Porto Seguro - Ezeiza,internacional,Andes Líneas Aéreas,Porto Seguro,,Ezeiza,Buenos Aires,465,495,3,0.9394
2017,1,Porto Seguro - Ezeiza,internacional,Gol Transportes Aéreos,Porto Seguro,,Ezeiza,Buenos Aires,574,726,4,0.7906
2017,1,Posadas - Ciudad de Buenos Aires,cabotaje,Aerolíneas Argentinas,Posadas,Misiones,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,7168,8036,83,0.892
2017,1,Posadas - Córdoba,cabotaje,Aerolíneas Argentinas,Posadas,Misiones,Córdoba,Córdoba,48,48,1,1.0
2017,1,Posadas - Ezeiza,cabotaje,Aerolíneas Argentinas,Posadas,Misiones,Ezeiza,Buenos Aires,118,133,2,0.8872
2017,1,Puerto Argentino - Río Gallegos,cabotaje,LATAM,Puerto Argentino,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",Río Gallegos,Santa Cruz,55,144,1,0.3819
2017,1,Puerto Iguazú - Ciudad de Buenos Aires,cabotaje,Aerolíneas Argentinas,Puerto Iguazú,Misiones,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,23342,28807,199,0.8103
